APIGroup,Kind,Version,ImportPath
,Binding,internal,
,ComponentStatus,internal,
,ConfigMap,internal,
,Endpoints,internal,
,Event,internal,
,LimitRange,internal,
,Namespace,internal,
,Node,internal,
,NodeProxyOptions,internal,
,PersistentVolume,internal,
,PersistentVolumeClaim,internal,
,Pod,internal,
,PodAttachOptions,internal,
,PodExecOptions,internal,
,PodLogOptions,internal,
,PodPortForwardOptions,internal,
,PodProxyOptions,internal,
,PodStatusResult,internal,
,PodTemplate,internal,
,RangeAllocation,internal,
,ReplicationController,internal,
,ResourceQuota,internal,
,Secret,internal,
,SerializedReference,internal,
,Service,internal,
,ServiceAccount,internal,
,ServiceProxyOptions,internal,
abac.authorization.kubernetes.io,Policy,internal,
admission.k8s.io,AdmissionReview,internal,
admissionregistration.k8s.io,MutatingAdmissionPolicy,internal,
admissionregistration.k8s.io,MutatingAdmissionPolicyBinding,internal,
admissionregistration.k8s.io,MutatingWebhookConfiguration,internal,
admissionregistration.k8s.io,ValidatingAdmissionPolicy,internal,
admissionregistration.k8s.io,ValidatingAdmissionPolicyBinding,internal,
admissionregistration.k8s.io,ValidatingWebhookConfiguration,internal,
apps,ControllerRevision,internal,
apps,DaemonSet,internal,
apps,Deployment,internal,
apps,DeploymentRollback,internal,
apps,ReplicaSet,internal,
apps,Scale,internal,
apps,StatefulSet,internal,
authentication.k8s.io,SelfSubjectReview,internal,
authentication.k8s.io,TokenRequest,internal,
authentication.k8s.io,TokenReview,internal,
authorization.k8s.io,LocalSubjectAccessReview,internal,
authorization.k8s.io,SelfSubjectAccessReview,internal,
authorization.k8s.io,SelfSubjectRulesReview,internal,
authorization.k8s.io,SubjectAccessReview,internal,
autoscaling,HorizontalPodAutoscaler,internal,
autoscaling,Scale,internal,
batch,CronJob,internal,
batch,Job,internal,
certificates.k8s.io,CertificateSigningRequest,internal,
certificates.k8s.io,ClusterTrustBundle,internal,
coordination.k8s.io,Lease,internal,
coordination.k8s.io,LeaseCandidate,internal,
discovery.k8s.io,EndpointSlice,internal,
events.k8s.io,Event,internal,
extensions,DaemonSet,internal,
extensions,Deployment,internal,
extensions,DeploymentRollback,internal,
extensions,Ingress,internal,
extensions,NetworkPolicy,internal,
extensions,ReplicaSet,internal,
extensions,Scale,internal,
flowcontrol.apiserver.k8s.io,FlowSchema,internal,
flowcontrol.apiserver.k8s.io,PriorityLevelConfiguration,internal,
imagepolicy.k8s.io,ImageReview,internal,
internal.apiserver.k8s.io,StorageVersion,internal,
networking.k8s.io,IPAddress,internal,
networking.k8s.io,Ingress,internal,
networking.k8s.io,IngressClass,internal,
networking.k8s.io,NetworkPolicy,internal,
networking.k8s.io,ServiceCIDR,internal,
node.k8s.io,RuntimeClass,internal,
policy,Eviction,internal,
policy,PodDisruptionBudget,internal,
rbac.authorization.k8s.io,ClusterRole,internal,
rbac.authorization.k8s.io,ClusterRoleBinding,internal,
rbac.authorization.k8s.io,Role,internal,
rbac.authorization.k8s.io,RoleBinding,internal,
resource.k8s.io,DeviceClass,internal,
resource.k8s.io,ResourceClaim,internal,
resource.k8s.io,ResourceClaimTemplate,internal,
resource.k8s.io,ResourceSlice,internal,
scheduling.k8s.io,PriorityClass,internal,
storage.k8s.io,CSIDriver,internal,
storage.k8s.io,CSINode,internal,
storage.k8s.io,CSIStorageCapacity,internal,
storage.k8s.io,StorageClass,internal,
storage.k8s.io,VolumeAttachment,internal,
storage.k8s.io,VolumeAttributesClass,internal,
storagemigration.k8s.io,StorageVersionMigration,internal,
